groupby_lastfm,year,song,artist,genre,inverse_score,number_of_weeks,old_popularity,artist_rank,lastfm,lastfm_rank,youtube,youtube_rank,new_total_count,genre_category,Alternative & Punk,Classical,Electronica,Jazz,Other,Pop,Rock,Soundtrack,Traditional,Urban,number_of_songs_by_artist,total_number_of_songs_by_artist,genre_Count_from2005,groupby_youtube,groupby_5,groupby_3,rankby_total_count,groupby_3_total_rank,groupby_5_total_rank,full_gerne_count
3,1966,Why Pick On Me,The Standells,Rock,218,7,4702,429,26794,2088,5876.0,6402,32670.0,6,0,0,0,0,0,0,1,0,0,0,34,34,1990,8,4,3,4530,2,3,75454
8,1962,Patti Ann,Johnny Crawford,Rock,328,9,3782,239,289,6529,32219.0,4230,32508.0,6,0,0,0,0,0,0,1,0,0,0,63,63,1990,6,3,2,4536,2,3,75454
7,1963,A Fine Fine Boy,Darlene Love,Rock,217,6,4720,602,955,5532,31532.0,4261,32487.0,6,0,0,0,0,0,0,1,0,0,0,24,27,1990,6,3,2,4538,2,3,75454
4,1962,Stop The Music,The Shirelles,Rock,405,8,3225,44,16417,2574,16005.0,5124,32422.0,6,0,0,0,0,0,0,1,0,0,0,198,198,1990,7,4,2,4539,2,3,75454
3,1967,Ooh Baby,Bo Diddley,Rock,61,7,6344,376,24929,2160,7420.0,6142,32349.0,6,0,0,0,0,0,0,1,0,0,0,40,40,1990,8,4,3,4541,2,3,75454
6,1960,I'll Be Seeing You,The Five Satins,Rock,63,6,6301,1228,2519,4539,29790.0,4335,32309.0,6,0,0,0,0,0,0,1,0,0,0,11,11,1990,6,3,2,4542,2,3,75454
8,1967,Step Out Of Your Mind,The American Breed,Rock,445,9,2979,400,387,6306,31869.0,4253,32256.0,6,0,0,0,0,0,0,1,0,0,0,37,37,1990,6,3,2,4544,2,3,75454
4,1967,Yellow Balloon,The Yellow Balloon,Rock,544,10,2447,1341,10291,3088,21914.0,4722,32205.0,6,0,0,0,0,0,0,1,0,0,0,10,10,1990,6,3,2,4546,2,3,75454
3,1960,In The Still Of The Night,Dion & The Belmonts,Rock,293,7,4077,177,24135,2194,8036.0,6026,32171.0,6,0,0,0,0,0,0,1,0,0,0,88,88,1990,8,4,3,4548,2,3,75454
6,1966,Twinkle Toes,Roy Orbison,Rock,317,6,3885,19,2653,4495,29508.0,4349,32161.0,6,0,0,0,0,0,0,1,0,0,0,267,285,1990,6,3,2,4549,2,3,75454
5,1964,Abigail Beecher,Freddy Cannon,Rock,546,8,2439,103,5352,3767,26777.0,4470,32129.0,6,0,0,0,0,0,0,1,0,0,0,130,130,1990,6,3,2,4551,2,3,75454
4,1958,Don't Pity Me,Dion & The Belmonts,Rock,570,12,2306,177,13040,2807,19072.0,4881,32112.0,6,0,0,0,0,0,0,1,0,0,0,88,88,1990,6,3,2,4552,2,3,75454
9,1965,On A Clear Day You Can See Forever,Johnny Mathis,Rock,5,2,8061,41,49,7523,32055.0,4243,32104.0,-1,0,0,0,0,0,0,0,0,0,0,201,231,1990,6,3,2,4554,2,3,75454
10,1960,Senza Mamma (With No One),Connie Francis,Rock,14,1,7486,2,8,7992,32089.0,4241,32097.0,6,0,0,0,0,0,0,1,0,0,0,485,485,1990,6,3,2,4556,2,3,75454
5,1963,My Babe,The Righteous Brothers,Rock,155,7,5276,101,4125,4013,27787.0,4432,31912.0,6,0,0,0,0,0,0,1,0,0,0,130,164,1990,6,3,2,4563,2,3,75454
10,1960,The Old Payola Roll Blues (Side I),Stan Freberg,Rock,2,1,8322,2099,0,8312,31834.0,4255,31834.0,-1,0,0,0,0,0,0,0,0,0,0,3,3,1990,6,3,2,4568,2,3,75454
5,1967,Chattanooga Choo Choo,Harpers Bizarre,Rock,278,7,4211,426,4535,3931,27264.0,4451,31799.0,6,0,0,0,0,0,0,1,0,0,0,35,35,1990,6,3,2,4569,2,3,75454
9,1969,I Could Never Lie To You,The New Colony Six,Rock,297,8,4050,423,213,6756,31442.0,4267,31655.0,6,0,0,0,0,0,0,1,0,0,0,35,48,1990,6,3,2,4574,2,3,75454
4,1969,The Wedding Cake,Connie Francis,Rock,19,4,7277,2,16770,2555,14842.0,5212,31612.0,6,0,0,0,0,0,0,1,0,0,0,485,485,1990,7,4,2,4576,2,3,75454
7,1968,Billy You're My Friend,Gene Pitney,Rock,27,3,7018,31,1417,5134,30182.0,4316,31599.0,6,0,0,0,0,0,0,1,0,0,0,222,222,1990,6,3,2,4578,2,3,75454
10,1964,Ringo's Theme (This Boy),George Martin And His Orch.,Rock,292,8,4093,1563,0,8317,31434.0,4268,31434.0,-1,0,0,0,0,0,0,0,0,0,0,8,8,1990,6,3,2,4585,2,3,75454
4,1962,I'm Here To Get My Baby Out Of Jail,The Everly Brothers,Rock,131,6,5527,14,13134,2800,18162.0,4947,31296.0,6,0,0,0,0,0,0,1,0,0,0,297,309,1990,6,3,2,4592,2,3,75454
8,1965,Just A Little Bit,Roy Head,Rock,329,7,3772,1243,568,5993,30709.0,4290,31277.0,6,0,0,0,0,0,0,1,0,0,0,11,12,1990,6,3,2,4593,2,3,75454
7,1958,Gas Money,Jan & Arnie,Rock,36,2,6806,1946,867,5631,30386.0,4304,31253.0,6,0,0,0,0,0,0,1,0,0,0,4,4,1990,6,3,2,4594,2,3,75454
7,1970,I Who Have Nothing,Liquid Smoke,Rock,56,3,6426,2140,958,5526,30208.0,4314,31166.0,6,0,0,0,0,0,0,1,0,0,0,3,3,1990,6,3,2,4597,2,3,75454
6,1960,Brontosaurus Stomp,The Piltdown Men,Rock,65,3,6282,2052,3054,4337,27976.0,4421,31030.0,6,0,0,0,0,0,0,1,0,0,0,3,3,1990,6,3,2,4601,2,3,75454
5,1967,Blue's Theme,Davie Allan And The Arrows,Rock,564,17,2339,793,6191,3619,24746.0,4578,30937.0,6,0,0,0,0,0,0,1,0,0,0,19,19,1990,6,3,2,4605,2,3,75454
5,1970,Freedom Blues,Little Richard,Rock,334,9,3731,468,4787,3870,26082.0,4505,30869.0,6,0,0,0,0,0,0,1,0,0,0,31,41,1990,6,3,2,4607,2,3,75454
9,1962,Moments,Jennell Hawkins,Rock,329,8,3776,1538,77,7331,30791.0,4285,30868.0,6,0,0,0,0,0,0,1,0,0,0,8,8,1990,6,3,2,4608,2,3,75454
5,1962,Let's Go (pony),The Routers,Rock,734,13,1651,627,4391,3954,26422.0,4485,30813.0,6,0,0,0,0,0,0,1,0,0,0,23,23,1990,6,3,2,4611,2,3,75454
8,1960,T.L.C. Tender Love And Care,Jimmie Rodgers,Rock,557,10,2379,66,442,6201,30277.0,4311,30719.0,6,0,0,0,0,0,0,1,0,0,0,168,168,1990,6,3,2,4612,2,3,75454
10,1965,I've Got Five Dollars And It's Saturday Night,George & Gene,Rock,2,1,8257,2394,0,8347,30651.0,4291,30651.0,-1,0,0,0,0,0,0,0,0,0,0,1,1,1990,6,3,2,4617,2,3,75454
7,1968,"Look, Here Comes The Sun",The Sunshine Company,Rock,209,5,4788,680,761,5755,29887.0,4330,30648.0,6,0,0,0,0,0,0,1,0,0,0,22,22,1990,6,3,2,4618,2,3,75454
4,1965,"My Town, My Guy And Me",Lesley Gore,Rock,416,8,3163,73,9318,3209,21301.0,4763,30619.0,6,0,0,0,0,0,0,1,0,0,0,157,157,1990,6,3,2,4620,2,3,75454
3,1965,Jealous Heart,Connie Francis,Rock,326,8,3800,2,20430,2349,10033.0,5735,30463.0,6,0,0,0,0,0,0,1,0,0,0,485,485,1990,7,4,3,4624,2,3,75454
8,1968,Suzie Q. (Part One),Creedence Clearwater Revival,Rock,819,12,1346,108,270,6594,30062.0,4324,30332.0,6,0,0,0,0,0,0,1,0,0,0,127,154,1990,6,3,2,4630,2,3,75454
3,1963,18 Yellow Roses,Bobby Darin,Rock,670,10,1910,8,23803,2215,6513.0,6288,30316.0,6,0,0,0,0,0,0,1,0,0,0,326,334,1990,8,4,3,4631,2,3,75454
4,1964,Little Latin Lupe Lu,The Kingsmen,Rock,374,9,3425,192,13534,2766,16739.0,5057,30273.0,6,0,0,0,0,0,0,1,0,0,0,80,80,1990,7,4,2,4632,2,3,75454
4,1963,South Street,The Orlons,Rock,1015,13,700,183,15943,2601,14183.0,5278,30126.0,6,0,0,0,0,0,0,1,0,0,0,84,84,1990,7,4,2,4636,2,3,75454
10,1963,I Know I Know,Pookie Hudson,Rock,5,1,8027,2408,2,8115,30121.0,4321,30123.0,-1,0,0,0,0,0,0,0,0,0,0,1,1,1990,6,3,2,4637,2,3,75454
6,1961,What Would I Do,Mickey & Sylvia,Rock,334,9,3726,884,2039,4778,28074.0,4414,30113.0,6,0,0,0,0,0,0,1,0,0,0,17,17,1990,6,3,2,4638,2,3,75454
