,song,artist,sum,count,old_popularity,lastfm_count,new_popularity,genre,year
3222,Sugar Town,Nancy Sinatra,16628,13,3223,356585,439,Rock,
1863,Do It Again,The Beach Boys,19792,10,1864,350982,443,Rock,
1954,Wooly Bully,Sam The Sham and the Pharaohs,19546,18,1955,349393,444,Rock,
594,The Wanderer,Dion,24902,18,595,348824,445,Rock,
5959,Keep On Running,The Spencer Davis Group,7032,4,5960,344929,446,Rock,
6403,I Threw It All Away,Bob Dylan,4744,5,6404,341985,448,Rock,
1639,(Marie's The Name) His Latest Flame,Elvis Presley,20420,11,1640,341068,449,Rock,
1533,Words,Bee Gees,20738,11,1534,339892,451,Rock,
1300,I Can Hear Music,The Beach Boys,21514,10,1301,339367,453,Rock,
4063,She'd Rather Be With Me,The Turtles,14742,11,4064,337265,455,Rock,
6188,Run Rudolph Run,Chuck Berry,5746,3,6189,336622,456,Rock,
1335,If I Can Dream,Elvis Presley,21406,13,1336,336145,457,Rock,
2782,"Dance, Dance, Dance",The Beach Boys,17638,11,2783,334932,459,Rock,
478,Love Is All Around,The Troggs,25690,16,479,333465,460,Rock,
3474,The Lion Sleeps Tonight,The Tokens,16156,15,3475,332303,461,Rock,
3830,My Back Pages,The Byrds,15452,7,3831,330681,462,Rock,
865,All I Really Want To Do,The Byrds,23346,10,866,330585,464,Rock,
1820,I'm A Man,The Yardbirds,19914,10,1821,330300,465,Rock,
2946,Ain't She Sweet,The Beatles,17250,9,2947,327674,467,Rock,
2373,What The World Needs Now Is Love,Jackie DeShannon,18548,13,2374,327456,468,Rock,
1744,Shapes Of Things,The Yardbirds,20128,11,1745,321493,471,Rock,
5290,Crown Of Creation,Jefferson Airplane,10618,6,5291,321364,472,Rock,
4441,Blue Moon,The Marcels,13618,14,4442,320287,473,Rock,
3093,Tell Her No,The Zombies,16902,11,3094,316870,479,Rock,
1428,One,Three Dog Night,21096,16,1429,314382,480,Rock,
2054,Cinnamon Girl,Neil Young & Crazy Horse,19254,9,2055,309194,482,Rock,
3863,Cathy's Clown,The Everly Brothers,15358,17,3864,307976,483,Rock,
4129,Mama Said,The Shirelles,14508,11,4130,306948,484,Rock,
5227,Yakety Yak,The Coasters,10808,7,5228,306706,485,Rock,
1747,Nobody But Me,The Human Beinz,20122,15,1748,306347,486,Rock,
2531,Darlin',The Beach Boys,18210,9,2532,303124,488,Rock,
4634,Chapel Of Love,The Dixie Cups,13046,13,4635,301034,490,Rock,
3712,Boom Boom,The Animals,15670,7,3713,300632,492,Rock,
317,Pictures Of Matchstick Men,The Status Quo,27474,17,318,298734,494,Rock,
4876,Windy,The Association,12170,14,4877,297043,496,Rock,
2143,Come Running,Van Morrison,19068,8,2144,296164,497,Rock,
4200,Bring It On Home To Me,The Animals,14314,6,4201,294386,499,Rock,
3236,Rag Mama Rag,The Band,16606,8,3237,293819,500,Rock,
963,Summertime Blues,Blue Cheer,22844,13,964,292617,501,Rock,
1200,Blue Bayou,Roy Orbison,21894,10,1201,291744,502,Rock,
223,Shut Down,The Beach Boys,29166,13,224,290960,503,Rock,
9,Wipe Out,The Surfaris,47806,30,10,290333,504,Rock,
4157,He's So Fine,The Chiffons,14418,15,4158,290191,505,Rock,
1508,A Summer Song,Chad & Jeremy,20836,14,1509,290190,506,Rock,
