song,artist,lastfm_count,new_popularity
25 Or 6 To 4,Chicago,715736.0,253
Kozmic Blues,Janis Joplin,715198.0,254
Hurdy Gurdy Man,Donovan,708081.0,255
With A Girl Like You,The Troggs,702408.0,256
I Don't Want To Spoil The Party,The Beatles,697898.0,257
It's Not Unusual,Tom Jones,695920.0,258
"Fun, Fun, Fun",The Beach Boys,693219.0,259
I Got You Babe,Sonny & Cher,684447.0,260
Sunshine Superman,Donovan,681548.0,261
This Old Heart Of Mine (Is Weak For You),The Isley Brothers,676698.0,262
It's All Over Now,The Rolling Stones,673871.0,263
La Bamba,Ritchie Valens,669816.0,264
Pictures Of Lily,The Who,668590.0,265
Up On Cripple Creek,The Band,668220.0,266
The Dangling Conversation,Simon & Garfunkel,667354.0,267
Friday On My Mind,The Easybeats,666722.0,268
Evil Ways,Santana,657987.0,269
My Guy,Mary Wells,657619.0,270
It Was A Very Good Year,Frank Sinatra,656896.0,271
Dancing In The Street,Martha & The Vandellas,655836.0,272
The End Of The World,Skeeter Davis,654963.0,273
Don't Take Your Guns To Town,Johnny Cash,654810.0,274
Ohio,"Crosby, Stills, Nash & Young",653531.0,275
Dance To The Music,Sly & The Family Stone,652142.0,276
Uptight (Everything's Alright),Stevie Wonder,648792.0,277
Bus Stop,The Hollies,646724.0,278
I Got Stripes,Johnny Cash,643463.0,279
Lonesome Town,Ricky Nelson,642213.0,280
Venus,The Shocking Blue,641612.0,281
Surfer Girl,The Beach Boys,639672.0,282
Walk On By,Dionne Warwick,638011.0,283
(You're the) Devil In Disguise,Elvis Presley With The Jordanaires,637557.0,284
Piece Of My Heart,Big Brother & The Holding Company,633652.0,285
Orange Blossom Special,Johnny Cash,633648.0,286
Surfin' Safari,The Beach Boys,631655.0,287
Tell All The People,The Doors,627486.0,288
You Don't Have To Say You Love Me,Dusty Springfield,625456.0,289
Chain Gang,Sam Cooke,624320.0,290
We've Only Just Begun,Carpenters,623360.0,291
Give Peace A Chance,Plastic Ono Band,618189.0,292
Mack The Knife,Bobby Darin,615887.0,293
Where Did Our Love Go,The Supremes,614672.0,294
(They Long To Be) Close To You,Carpenters,607779.0,295
Viva Las Vegas,Elvis Presley,606416.0,296
Viva Las Vegas,Elvis Presley With The Jordanaires,606416.0,297
"Sugar, Sugar",The Archies,605428.0,298
You've Lost That Lovin' Feelin',The Righteous Brothers,601348.0,299
Respect,Otis Redding,599851.0,300
Woodstock,"Crosby, Stills, Nash & Young",599585.0,301
Heroes And Villains,The Beach Boys,598564.0,302
Lady Jane,The Rolling Stones,597206.0,303
Please Mr. Postman,The Marvelettes,594522.0,304
Sunday Morning Coming Down,Johnny Cash,592749.0,305
Catch The Wind,Donovan,590050.0,306
Pain In My Heart,Otis Redding,584893.0,307
It's Your Thing,The Isley Brothers,578666.0,308
Daddy Sang Bass,Johnny Cash,575047.0,309
I Was Made To Love Her,Stevie Wonder,574936.0,310
Wishful Sinful,The Doors,569842.0,311
Little Deuce Coupe,The Beach Boys,565104.0,312
Stuck On You,Elvis Presley With The Jordanaires,560396.0,313
Heart Of Stone,The Rolling Stones,560034.0,314
Domino,Van Morrison,558125.0,315
I'm Free,The Who,550873.0,316
In The Midnight Hour,Wilson Pickett,548161.0,317
Let's Twist Again,Chubby Checker,547943.0,318
Stop! In The Name Of Love,The Supremes,547318.0,319
Where Do You Go To (My Lovely),Peter Sarstedt,546569.0,320
Under The Boardwalk,The Drifters,544608.0,321
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,543422.0,322
Dedicated Follower Of Fashion,The Kinks,541947.0,323
I Never Loved A Man (The Way I Love You),Aretha Franklin,538951.0,324
Itchycoo Park,Small Faces,538812.0,325
She's A Woman,The Beatles,538800.0,326
Mellow Yellow,Donovan,536717.0,327
Till The End Of The Day,The Kinks,535166.0,328
Yes It Is,The Beatles,532559.0,329
The Twist,Chubby Checker,528349.0,330
Gimme Some Lovin',The Spencer Davis Group,527280.0,331
The Tears Of A Clown,Smokey Robinson & The Miracles,525409.0,332
Hard To Handle,Otis Redding,524128.0,333
Twistin' The Night Away,Sam Cooke,523143.0,334
Get Ready,The Temptations,522386.0,335
The Christmas Song (Merry Christmas To You),Nat King Cole,521794.0,336
Dream Lover,Bobby Darin,519246.0,337
The Look Of Love,Dusty Springfield,518211.0,338
Runaround Sue,Dion,516395.0,339
If You Could Read My Mind,Gordon Lightfoot,514394.0,340
Daydream,The Lovin' Spoonful,513953.0,341
Cissy Strut,The Meters,513646.0,342
Runnin' Blue,The Doors,504254.0,343
Then He Kissed Me,The Crystals,502342.0,344
Surrender,Elvis Presley With The Jordanaires,502277.0,345
I Can't Stop Loving You,Ray Charles,501219.0,346
Set Me Free,The Kinks,497236.0,347
Leader Of The Pack,The Shangri-Las,496369.0,348
It's My Party,Lesley Gore,493976.0,349
(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,489134.0,350
That's How Strong My Love Is,Otis Redding,486599.0,351
Fakin' It,Simon & Garfunkel,484484.0,352
Nowhere To Run,Martha & The Vandellas,480403.0,353
Thank You Girl,The Beatles,475691.0,354
Suite: Judy Blue Eyes,"Crosby, Stills & Nash",473868.0,355
Uncle John's Band,The Grateful Dead,473759.0,356
To Love Somebody,Bee Gees,472757.0,357
Baby I Need Your Loving,Four Tops,472387.0,358
Hard Headed Woman,Elvis Presley With The Jordanaires,465633.0,359
I Started A Joke,Bee Gees,465427.0,360
Mas Que Nada,Sergio Mendes & Brasil '66,464609.0,361
The Way You Do The Things You Do,The Temptations,463618.0,362
Cry To Me,Solomon Burke,463454.0,363
Stand By Your Man,Tammy Wynette,460822.0,364
"Girl, You'll Be A Woman Soon",Neil Diamond,459946.0,365
Save The Last Dance For Me,The Drifters,459419.0,366
C'mon Everybody,Eddie Cochran,457627.0,367
Good Luck Charm,Elvis Presley With The Jordanaires,456697.0,368
"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,456506.0,369
One Night,Elvis Presley,456362.0,370
Sunny,Bobby Hebb,455757.0,371
Reach Out I'll Be There,Four Tops,454455.0,372
You Only Live Twice,Nancy Sinatra,453041.0,373
Stay,Maurice Williams & The Zodiacs,452638.0,374
Blue Velvet,Bobby Vinton,447404.0,375
Rescue Me,Fontella Bass,447186.0,376
I Only Want To Be With You,Dusty Springfield,445665.0,377
Do You Believe In Magic,The Lovin' Spoonful,443503.0,378
Silence Is Golden,The Tremeloes,442322.0,379
I Only Have Eyes For You,The Flamingos,440570.0,380
The Inner Light,The Beatles,436888.0,381
Ain't No Mountain High Enough,Diana Ross,435588.0,382
King Of The Road,Roger Miller,434828.0,383
Shake,Otis Redding,434616.0,384
Kick Out The Jams,MC5,433999.0,385
No Particular Place To Go,Chuck Berry,430269.0,386
You'll Never Walk Alone,Gerry And The Pacemakers,428100.0,387
In My Room,The Beach Boys,424462.0,388
Do Wah Diddy Diddy,Manfred Mann,423248.0,389
Mr. Pitiful,Otis Redding,422244.0,390
Five Feet High And Rising,Johnny Cash,420064.0,391
I Fall To Pieces,Patsy Cline,418988.0,392
A Big Hunk O' Love,Elvis Presley With The Jordanaires,415748.0,393
Incense And Peppermints,Strawberry Alarm Clock,414101.0,394
"Help Me, Rhonda",The Beach Boys,412781.0,395
Last Train To Clarksville,The Monkees,409992.0,396
Colours,Donovan,409528.0,397
You Keep Me Hangin' On,The Supremes,408128.0,398
Something's Got A Hold On Me,Etta James,406267.0,399
Wichita Lineman,Glen Campbell,405100.0,400
Mustang Sally,Wilson Pickett,405029.0,401
Baby It's You,Smith,403535.0,402
Can't Take My Eyes Off You,Frankie Valli,403335.0,403
One Fine Day,The Chiffons,402791.0,404
Make Your Own Kind Of Music,Mama Cass Elliot,401383.0,405
What Becomes Of The Brokenhearted,Jimmy Ruffin,401009.0,406
Comin' Home Baby,Mel Torme,400377.0,407
Psychotic Reaction,Count Five,397047.0,408
Everybody Loves Somebody,Dean Martin,396924.0,409
Delilah,Tom Jones,395630.0,410
Matchbox,The Beatles,394496.0,411
Slow Down,The Beatles,394183.0,412
It's My Life,The Animals,392856.0,413
These Eyes,The Guess Who,392290.0,414
It's The Same Old Song,Four Tops,392011.0,415
Make It With You,Bread,390272.0,416
Big Iron,Marty Robbins,389540.0,417
Eve Of Destruction,Barry McGuire,388475.0,418
I'm Into Something Good,Herman's Hermits,385132.0,419
Walk On By,Isaac Hayes,384624.0,420
