,song,artist,sum,count,lastfm_count
157,I Can't Stop Loving You,Ray Charles,342,18,501219.0
158,Mule Skinner Blues,The Fendermen,525,18,23184.0
159,I Love You,People,816,18,6489.0
160,For The Good Times,Ray Price,874,18,72701.0
161,Hideaway,The Four Esquires,861,17,137.0
162,Knock On Wood,Eddie Floyd,989,17,356343.0
163,Surfin' Safari,The Beach Boys,647,17,631655.0
164,Green-Eyed Lady,Sugarloaf,459,17,76109.0
165,Kiddio,Brook Benton,424,17,21703.0
166,Do Your Thing,The Watts 103rd Street Rhythm Band,698,17,3104.0
167,Goodbye Cruel World,James Darren,440,17,9920.0
168,Just Out Of Reach (Of My Two Open Arms),Solomon Burke,878,17,9919.0
169,Lay Down (Candles In The Rain),Melanie with The Edwin Hawkins Singers,460,17,4342.0
170,Kissin' Time,Bobby Rydell,782,17,19036.0
171,Gypsy Woman,Brian Hyland,596,17,39307.0
172,Itchycoo Park,Small Faces,797,17,538812.0
173,High Hopes,Frank Sinatra and a bunch of kids,990,17,8.0
174,I Can't Get Next To You,The Temptations,282,17,311951.0
175,I Got A Feeling,Ricky Nelson,523,17,20357.0
176,A Thousand Stars,Kathy Young with The Innocents,322,17,14797.0
177,I Heard It Through The Grapevine,Gladys Knight And The Pips,328,17,236529.0
178,Different Drum,Stone Poneys Featuring Linda Ronstadt,558,17,53177.0
179,In-A-Gadda-Da-Vida,Iron Butterfly,907,17,760671.0
180,Denise,Randy & The Rainbows,635,17,89209.0
181,"I Like It Like That, Part 1",Chris Kenner,529,17,2059.0
182,I Think We're Alone Now,Tommy James And The Shondells,440,17,168142.0
183,I'll Wait For You,Frankie Avalon,696,17,12403.0
184,Night,Jackie Wilson,467,17,16280.0
185,Lipstick On Your Collar,Connie Francis,436,17,148213.0
186,Dream Lover,Bobby Darin,364,17,519246.0
187,Monster Mash,Bobby Boris Pickett And The Crypt-Kickers,544,17,323.0
188,Peter Gunn,Ray Anthony and His Orchestra,494,17,0.0
189,Michael,The Highwaymen,437,17,21507.0
190,Mississippi Queen,Mountain,810,17,788166.0
191,Paper Roses,Anita Bryant,510,17,69757.0
192,Fannie Mae,Buster Brown,916,17,13330.0
193,Misty,Johnny Mathis,617,17,132789.0
194,Susie Darlin',Robin Luke,362,17,12698.0
195,One Tin Soldier,The Original Caste,1050,17,11524.0
196,Sea Cruise,Frankie Ford,678,17,71094.0
197,One Night,Elvis Presley,413,17,456362.0
198,Mony Mony,Tommy James And The Shondells,463,17,195240.0
199,Moon River,Jerry Butler,602,17,21268.0
200,Am I That Easy To Forget,Debbie Reynolds,786,17,1142.0
201,Morgen,Ivo Robic and The Song-Masters,669,17,8.0
202,My Heart Has A Mind Of Its Own,Connie Francis,292,17,31339.0
203,Near You,Roger Williams,612,17,8508.0
204,Alfie,Dionne Warwick,773,17,59870.0
205,Pictures Of Matchstick Men,The Status Quo,742,17,298734.0
206,Make It With You,Bread,410,17,390272.0
207,Lucky Devil,"Carl Dobkins, Jr.",872,17,555.0
208,Leaving On A Jet Plane,"Peter, Paul & Mary",299,17,242967.0
209,Running Scared,Roy Orbison,391,17,208250.0
210,Nobody But You,Dee Clark,820,17,14421.0
211,Aquarius/Let The Sunshine In,The 5th Dimension,212,17,164416.0
212,Runaway,Del Shannon,370,17,1260889.0
213,"Apples, Peaches, Pumpkin Pie",Jay And The Techniques,589,17,4034.0
214,Little Green Apples,O.C. Smith,452,17,11677.0
215,Little Star,The Elegants,311,17,85714.0
216,Go Away Little Girl,Steve Lawrence,418,17,11636.0
217,Red River Rock,Johnny And The Hurricanes,425,17,137390.0
218,Apache,Jorgen Ingmann & His Guitar,480,17,2488.0
219,Any Way That You Want Me,Evie Sands,1172,17,4023.0
220,Love Land,Charles Wright And The Watts 103rd Street Rhythm Band,677,17,308.0
221,Poor Boy,The Royaltones,660,17,3078.0
222,Love Potion No. 9,The Clovers,877,17,109835.0
